stage,topic,level,question,option_a,option_b,option_c,option_d,correct_option,explanation,question_type,question_order
3,"Debt, Taxes & Planning",1,"What is the difference between Chapter 7 and Chapter 13 bankruptcy, and what assets can you typically keep?",Chapter 7 liquidates non-exempt assets to discharge unsecured debts; Chapter 13 creates a 3–5 year repayment plan allowing you to keep assets like your home,Chapter 7 is for businesses only; Chapter 13 is exclusively for individual consumers,Both chapters provide identical debt discharge but differ only in court filing fees,Chapter 7 protects all assets; Chapter 13 requires surrendering all assets above $10K,A,Chapter 7 stays on credit for 10 years; Chapter 13 for 7. Chapter 13 requires regular income to fund the repayment plan. Homeowners behind on mortgage often choose 13 to stop foreclosure while catching up on payments.,reinforcement,6
3,"Debt, Taxes & Planning",1,What is a Required Minimum Distribution (RMD) and what are the consequences of failing to take it?,RMDs are mandatory annual withdrawals from tax-deferred accounts starting at age 73; failure to take the full RMD incurs a 25% excise tax on the shortfall,RMDs are optional withdrawals that trigger a 10% early withdrawal penalty if taken before age 59½,"RMDs apply to Roth IRAs starting at age 65, unlike traditional IRAs which have no mandate","The penalty for missing an RMD is 50% of the account balance, not the shortfall amount",A,SECURE Act 2.0 (2022) reduced the penalty from 50% to 25% (further reduced to 10% if corrected promptly). Roth IRAs have no RMDs during the owner's lifetime — a key advantage for estate planning.,reinforcement,6
3,"Debt, Taxes & Planning",1,What is FATCA's dual compliance structure involving both US persons and foreign financial institutions?,US persons must report foreign accounts >$50K on Form 8938 (FATCA) in addition to FBAR >$10K; FFIs must enter IGA agreements with the IRS to report US clients or face 30% withholding,FATCA only requires FFI reporting; US persons have no independent reporting obligation,"FATCA applies exclusively to US corporations with foreign subsidiaries, not individual taxpayers",FFIs report all account holders to the IRS regardless of citizenship; FATCA doesn't distinguish US persons,A,"Form 8938 (FATCA) and FBAR (FinCEN 114) are separate but overlapping requirements. FATCA thresholds are higher and more asset-inclusive. IGAs have made most major foreign banks FATCA-compliant, severely limiting offshore tax evasion.",reinforcement,6
3,"Debt, Taxes & Planning",1,What is a defined benefit cash balance plan and how does it differ from traditional pension plans for tax planning?,"A cash balance plan expresses the DB benefit as a hypothetical account balance with annual pay credits and interest credits; it allows much higher contributions than a 401(k), making it powerful for high-income self-employed individuals",A cash balance plan is a defined contribution plan with guaranteed minimum returns,Cash balance plans have the same annual contribution limits as 401(k) plans,"Cash balance plans require equal contribution rates for all employees, unlike regular pensions",A,"A 55-year-old physician can contribute $200K+ annually to a cash balance plan (vs. $30.5K 401k limit). The DB funding rules allow large catch-up contributions. Combined with a 401(k), this can shelter enormous income — but requires actuarial maintenance.",reinforcement,6
3,"Debt, Taxes & Planning",1,What is transfer pricing and what arm's-length standard governs cross-border intercompany transactions?,Transfer pricing sets prices for transactions between related entities; the arm's-length standard requires prices to equal what unrelated parties would negotiate in comparable circumstances — enforced by IRC §482,Transfer pricing is the practice of setting retail prices for international products in global markets,The arm's-length standard requires intercompany transactions to use the highest legal tax rate jurisdiction's pricing,"Transfer pricing only applies to tangible goods; intangibles (IP, software) are exempt from §482",A,"Transfer pricing manipulation (overpricing imports from low-tax affiliates, underpricing exports to them) shifts profits to tax havens. IRS §482 and OECD BEPS guidelines require documentation supporting arm's-length pricing — violations carry penalties up to 40% of the underpayment.",reinforcement,6
3,"Debt, Taxes & Planning",1,What is the tax treatment difference between short-term and long-term capital gains?,"Short-term gains (held <1 year) are taxed as ordinary income (up to 37%); long-term gains (held >1 year) qualify for preferential rates of 0%, 15%, or 20%","Short-term gains are tax-free up to $3,000; long-term gains are always taxed at 28%",Both are taxed identically at the taxpayer's marginal ordinary income rate,Short-term gains are taxed at 15%; long-term gains at ordinary income rates,A,The 1-year holding period creates a powerful tax incentive to hold investments. A high-income investor converting short-term to long-term treatment saves 17–22 percentage points in taxes — a significant return on patience.,reinforcement,7
3,"Debt, Taxes & Planning",1,What is the net investment income tax (NIIT) and how is it calculated for a high-income investor?,A 3.8% surtax on the lesser of net investment income or the amount by which MAGI exceeds $200K (single) / $250K (married),A flat 3.8% tax on all investment income regardless of total income level,An additional 3.8% capital gains tax replacing the 20% long-term rate for taxpayers above $1M,A surtax only on foreign investment income for US citizens living abroad,A,"Example: MAGI = $350K, NII = $100K, threshold = $200K. Amount over threshold = $150K. NIIT applies to min($100K, $150K) = $100K. NIIT = $3,800. This stacks on the regular capital gains rate (potentially 20% + 3.8% = 23.8%).",reinforcement,7
3,"Debt, Taxes & Planning",1,"What is the step-up in basis and how does the 'buy, borrow, die' strategy exploit it for wealth transfer?","Inherited assets reset to fair market value at death, eliminating lifetime appreciation gains; wealthy individuals exploit this by borrowing against appreciated assets (avoiding realization) and holding until death","Step-up basis doubles the cost basis for inherited assets, reducing but not eliminating capital gains","The step-up only applies to assets held in trust, not directly owned assets","The 'buy, borrow, die' strategy triggers tax at death to take advantage of lower estate tax rates",A,"Buy low-basis appreciated stock. Borrow against it (loans aren't income). Live off the loan proceeds tax-free. Die — heirs inherit at stepped-up basis, wiping out lifetime gains. Repay the loan from estate proceeds. Legally, no capital gains ever realized.",reinforcement,7
3,"Debt, Taxes & Planning",1,What is the SECURE Act 2.0 and what are its most significant changes to retirement account rules?,"SECURE 2.0 (2022) raised the RMD age to 73 (75 by 2033), reduced RMD penalties, added Roth 401(k) RMD elimination, created emergency savings accounts, and expanded catch-up contributions",SECURE 2.0 eliminated all required minimum distributions and allowed unlimited Roth conversions,SECURE 2.0 reduced 401(k) contribution limits to redirect savings toward Social Security,SECURE 2.0 replaced IRAs with a single universal retirement account with higher limits,A,Key changes: RMD age 73 (from 72); RMD penalty cut from 50% to 25%; Roth 401(k)s no longer have lifetime RMDs starting 2024; 529-to-Roth rollovers allowed; emergency savings linked to 401(k) plans. Each change has material planning implications.,reinforcement,7
3,"Debt, Taxes & Planning",1,What is the Pillar Two global minimum tax under OECD BEPS 2.0 and how does the Income Inclusion Rule (IIR) work?,Pillar Two establishes a 15% global minimum tax on large multinationals; IIR allows a parent country to 'top up' taxes when a subsidiary is taxed below 15% in a low-tax jurisdiction,Pillar Two sets a uniform 21% global corporate tax rate replacing all national corporate taxes,"IIR allows companies to choose their preferred tax jurisdiction regardless of operations, subject to a maximum 10% rate","Pillar Two only applies to US multinationals, exempting non-US companies from minimum taxation",A,"Applies to MNEs with €750M+ revenue. If Ireland (12.5%) taxes a subsidiary, the parent country's IIR collects 2.5% top-up tax. The Undertaxed Profits Rule (UTPR) acts as a backstop. Over 140 countries agreed to the framework — transforming decades of offshore tax structuring.",reinforcement,7
3,"Debt, Taxes & Planning",1,"What is the standard deduction vs. itemized deductions, and when does itemizing make financial sense?","Standard deduction is a fixed amount ($14,600 single/$29,200 married in 2024); itemizing makes sense only when total deductions (mortgage interest, state taxes, charity) exceed the standard deduction",Itemizing is always better because it allows more deductions; the standard deduction is only for those with no deductible expenses,The standard deduction applies only to W-2 employees; self-employed individuals must itemize,You can claim both standard and itemized deductions in the same tax year,A,"Since the 2017 Tax Cuts and Jobs Act nearly doubled the standard deduction, fewer than 15% of taxpayers now itemize. High-income earners in high-tax states or large mortgage holders are most likely to benefit from itemizing.",reinforcement,8
3,"Debt, Taxes & Planning",1,What is the 'pro-rata rule' and how does it affect backdoor Roth IRA conversions?,"The pro-rata rule requires all traditional IRA balances to be considered when converting, potentially making much of the conversion taxable even if the contributed amount was non-deductible",The pro-rata rule allows converting only a fixed percentage of IRA balances tax-free each year,"The pro-rata rule only applies to 401(k) rollovers into IRAs, not backdoor Roth conversions","The pro-rata rule exempts the first $6,500 of any IRA conversion from taxation",A,"Example: $100K in pre-tax IRA + $7K new non-deductible contribution → converting $7K means only 6.5% is tax-free (7/107). Solution: roll pre-tax IRA into an employer 401(k) first, leaving only the non-deductible amount to convert.",reinforcement,8
3,"Debt, Taxes & Planning",1,"What is the difference between the estate tax exemption and the gift tax annual exclusion, and how do they interact?",The lifetime exemption ($13.61M in 2024) covers both gifts above the annual exclusion and estates — taxable gifts reduce the remaining estate exemption dollar-for-dollar,The annual exclusion and lifetime exemption are completely separate with no interaction between them,The lifetime exemption resets to the full amount each year regardless of prior taxable gifts,Gifts above the annual exclusion are taxed immediately at 40% with no connection to the estate,A,The unified credit concept: each taxable gift above the $18K annual exclusion uses part of your $13.61M lifetime exemption. Only when that's exhausted do actual gift or estate taxes become due. Strategic gifting during life can shift future appreciation out of the estate.,reinforcement,8
3,"Debt, Taxes & Planning",1,What is a Puerto Rico Act 60 (formerly Acts 20/22) tax structure and what are the residency requirements?,"Qualifying residents pay only 4% corporate tax (export services) and 0% Puerto Rico tax on capital gains/dividends; requires 183+ days of bona fide residency, closer connections to PR, and PR domicile",Puerto Rico Act 60 provides federal income tax exemption for all US citizens who visit PR once per year,Act 60 provides a 15% flat tax rate on all income for US citizens relocating to any US territory,Act 60 eliminates capital gains taxes for US investors who hold PR bonds for 5+ years,A,"US territories can offer their own tax regimes. Because PR is not a foreign country, Act 60 residents still file US returns but exclude PR-sourced income. Critical: gains accrued before moving are still taxed by the IRS — only new gains after establishing residency qualify.",reinforcement,8
3,"Debt, Taxes & Planning",1,What is a synthetic equity arrangement in a nonqualified deferred compensation plan and how does Section 409A regulate it?,"Synthetic equity grants notional interests tied to company stock value without actual equity transfer; §409A strictly regulates deferral elections, payment triggers, and prohibits acceleration to prevent tax deferral abuse",Synthetic equity is equity held by a nominee shareholder on behalf of a NQDC plan participant,"Section 409A was repealed in 2022, making synthetic equity arrangements freely structured",Synthetic equity plans are only available to public companies subject to SEC disclosure requirements,A,"§409A violations are catastrophic: immediate inclusion of all deferred amounts, plus a 20% penalty, plus interest at the underpayment rate + 1%. Phantom stock, SARs, and deferred bonus plans all require meticulous §409A compliance — making this one of the most technically demanding areas of executive compensation law.",reinforcement,8
